Outcome Group,count
Investigation complete – no suspect identified,2114651.0
Evidential difficulties (victim does not support action),1398454.0
Evidential difficulties (suspect identified; victim supports action),764558.0
Charged/Summonsed,458780.0
Out-of-court (informal),165569.0
Not yet assigned an outcome,129870.0
Prosecution prevented or not in the public interest,76690.0
Responsibility for further investigation transferred to another body,75791.0
Out-of-court (formal),49234.0
Further investigation to support formal action not in the public interest – police decision,42475.0
"Diversionary, educational or intervention activity, resulting from the crime report, has been undertaken and it is not in the public interest to take any further action.",26536.0
Taken into consideration,4865.0
