PFA 2023 Code,PFA 2023 Name,Population
E23000001,Metropolitan Police,9074625
E23000002,Cumbria,510680
E23000003,Lancashire,1601645
E23000004,Merseyside,1475541
E23000005,Greater Manchester,3009664
E23000006,Cheshire,1139884
E23000007,Northumbria,1509809
E23000008,Durham,650500
E23000009,North Yorkshire,844571
E23000010,West Yorkshire,2435236
E23000011,South Yorkshire,1430623
E23000012,Humberside,962532
E23000013,Cleveland,600369
E23000014,West Midlands,3036605
E23000015,Staffordshire,1177578
E23000016,West Mercia,1340814
E23000017,Warwickshire,632207
E23000018,Derbyshire,1096526
E23000019,Nottinghamshire,1188090
E23000020,Lincolnshire,789502
E23000021,Leicestershire,1175364
E23000022,Northamptonshire,813682
E23000023,Cambridgeshire,933972
E23000024,Norfolk,940359
E23000025,Suffolk,786231
E23000026,Bedfordshire,749943
E23000027,Hertfordshire,1236191
E23000028,Essex,1929610
E23000029,Thames Valley,2640201
E23000030,Hampshire,2062619
E23000031,Surrey,1248649
E23000032,Kent,1931684
E23000033,Sussex,1759789
E23000034,"London, City of",15111
E23000035,Devon & Cornwall,1840161
E23000036,Avon and Somerset,1813665
E23000037,Gloucestershire,669380
E23000038,Wiltshire,767575
E23000039,Dorset,798914
W15000001,North Wales,697115
W15000002,Gwent,601686
W15000003,South Wales,1363561
W15000004,Dyfed-Powys,524219
